longitude	longitude_bnds	latitude	latitude_bnds	time..YYYYMMDDHHMMSS.	time_bnds..YYYYMMDDHHMMSS.	altitude..km.	alt_bnds..km.	fluorescence_offset_relative_771nm_idp	fluorescence_offset_relative_757nm_idp	xco2..Moles.Mole...1..
-49.6587524414062	-49.78125:-49.5362548828	-20.5926994638836	-20.7175642821:-20.4678346457	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	0.0147018	0.0457993	0.000391066
-49.6587524414062	-49.78125:-49.5362548828	-20.3429698274325	-20.4678346457:-20.2181050092	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	0.0164503	0.0224132	0.000393227
-49.6587524414062	-49.78125:-49.5362548828	-20.0932401909814	-20.2181050092:-19.9683753728	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	-0.000427246	0.0177351	0.000394524
-49.4137573242188	-49.5362548828:-49.2912597656	-21.5916180096879	-21.7164828279:-21.4667531915	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	0.0198441	0.00275421	0.00039462
-49.4137573242188	-49.5362548828:-49.2912597656	-21.3418883732368	-21.4667531915:-21.217023555	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	0.0131601	-0.00907546	0.000396055
-49.4137573242188	-49.5362548828:-49.2912597656	-21.0921587367857	-21.217023555:-20.9672939186	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	0.0437012	0.0667114	0.000387294
-48.9237670898438	-49.0462646484:-48.8012695312	-24.3386440106499	-24.4635088289:-24.2137791924	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	0.0145961	0.120135	0.000396088
-48.9237670898438	-49.0462646484:-48.8012695312	-24.0889143741988	-24.2137791924:-23.964049556	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	-0.00129506	0.0372015	0.000395733
-48.9237670898438	-49.0462646484:-48.8012695312	-23.8391847377477	-23.964049556:-23.7143199195	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	0.0976562	0.0214844	0.000385504
-48.9237670898438	-49.0462646484:-48.8012695312	-23.5894551012966	-23.7143199195:-23.4645902831	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	-0.00183105	-0.00408936	0.000389234
-48.6787719726562	-48.8012695312:-48.5562744141	-25.3375625564543	-25.4624273747:-25.2126977382	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	-0.0199585	0.135803	0.000397945
-48.6787719726562	-48.8012695312:-48.5562744141	-24.8381032835521	-24.9629681018:-24.7132384653	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	0.0158081	0.0303073	0.000396422
-48.6787719726562	-48.8012695312:-48.5562744141	-24.588373647101	-24.7132384653:-24.4635088289	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	0.0111694	0.0434977	0.000396299
-48.6787719726562	-48.8012695312:-48.5562744141	-24.3386440106499	-24.4635088289:-24.2137791924	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	0.0465088	0.00759775	0.000393774
-48.6787719726562	-48.8012695312:-48.5562744141	-20.0932401909814	-20.2181050092:-19.9683753728	20160120120000	20160120000000:20160121000000	798.144104003906	0.0:1596.28820801	0.00666692	0.0143808	0.00038906
-48.6787719726562	-48.8012695312:-48.5562744141	-19.5937809180792	-19.7186457363:-19.4689160999	20160120120000	20160120000000:20160121000000	798.144104003906	0.0:1596.28820801	0.0139416	0.0104753	0.000396386
-48.6787719726562	-48.8012695312:-48.5562744141	-19.3440512816281	-19.4689160999:-19.2191864634	20160120120000	20160120000000:20160121000000	798.144104003906	0.0:1596.28820801	0.0159743	0.0243446	0.000391678
-48.4337768554688	-48.5562744141:-48.3112792969	-25.5872921929054	-25.7121570111:-25.4624273747	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	0.0158107	0.520424	0.000395503
-48.4337768554688	-48.5562744141:-48.3112792969	-25.3375625564543	-25.4624273747:-25.2126977382	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	0.0286865	-0.0224163	0.000398361
-48.4337768554688	-48.5562744141:-48.3112792969	-20.0932401909814	-20.2181050092:-19.9683753728	20160120120000	20160120000000:20160121000000	798.144104003906	0.0:1596.28820801	0.0300848	0.0187822	0.000392778
-48.1887817382812	-48.3112792969:-48.0662841797	-22.3408069190412	-22.4656717373:-22.2159421008	20160120120000	20160120000000:20160121000000	798.144104003906	0.0:1596.28820801	0.0172729	0.0105591	0.000383455
-48.1887817382812	-48.3112792969:-48.0662841797	-22.0910772825901	-22.2159421008:-21.9662124644	20160120120000	20160120000000:20160121000000	798.144104003906	0.0:1596.28820801	0.0198975	0.072937	0.000385711
-47.9437866210938	-48.0662841797:-47.8212890625	-22.3408069190412	-22.4656717373:-22.2159421008	20160120120000	20160120000000:20160121000000	798.144104003906	0.0:1596.28820801	0.00882568	0.021637	0.000386403
-47.9437866210938	-48.0662841797:-47.8212890625	-22.0910772825901	-22.2159421008:-21.9662124644	20160120120000	20160120000000:20160121000000	798.144104003906	0.0:1596.28820801	0.0130615	0.00616455	0.000385482
-47.6987915039062	-47.8212890625:-47.5762939453	-24.0889143741988	-24.2137791924:-23.964049556	20160120120000	20160120000000:20160121000000	798.144104003906	0.0:1596.28820801	0.0283279	0.0386429	0.000387726
-47.6987915039062	-47.8212890625:-47.5762939453	-23.8391847377477	-23.964049556:-23.7143199195	20160120120000	20160120000000:20160121000000	798.144104003906	0.0:1596.28820801	0.0173152	0.0160476	0.000386586
-47.6987915039062	-47.8212890625:-47.5762939453	-23.5894551012966	-23.7143199195:-23.4645902831	20160120120000	20160120000000:20160121000000	798.144104003906	0.0:1596.28820801	-0.0327962	-0.000651042	0.000385108
-47.4537963867188	-47.5762939453:-47.3312988281	-25.5872921929054	-25.7121570111:-25.4624273747	20160120120000	20160120000000:20160121000000	798.144104003906	0.0:1596.28820801	-0.0119493	-0.0684272	0.000393887
-47.4537963867188	-47.5762939453:-47.3312988281	-25.3375625564543	-25.4624273747:-25.2126977382	20160120120000	20160120000000:20160121000000	798.144104003906	0.0:1596.28820801	0.0228271	0.0960626	0.000395033
-47.4537963867188	-47.5762939453:-47.3312988281	-25.0878329200032	-25.2126977382:-24.9629681018	20160120120000	20160120000000:20160121000000	798.144104003906	0.0:1596.28820801	0.0121826	-0.00877433	0.000396504
-47.2088012695312	-47.3312988281:-47.0863037109	-25.5872921929054	-25.7121570111:-25.4624273747	20160120120000	20160120000000:20160121000000	798.144104003906	0.0:1596.28820801	0.00963948	0.0289606	0.000395925
-47.2088012695312	-47.3312988281:-47.0863037109	-25.3375625564543	-25.4624273747:-25.2126977382	20160120120000	20160120000000:20160121000000	798.144104003906	0.0:1596.28820801	-0.0494995	-999999	0.000390944
-45.9838256835938	-46.1063232422:-45.861328125	-25.5872921929054	-25.7121570111:-25.4624273747	20160113120000	20160113000000:20160114000000	798.144104003906	0.0:1596.28820801	0.0158691	-0.00241089	0.000397269
-45.9838256835938	-46.1063232422:-45.861328125	-25.3375625564543	-25.4624273747:-25.2126977382	20160113120000	20160113000000:20160114000000	798.144104003906	0.0:1596.28820801	-0.00414022	-0.0305074	0.000397272
-45.9838256835938	-46.1063232422:-45.861328125	-25.0878329200032	-25.2126977382:-24.9629681018	20160113120000	20160113000000:20160114000000	798.144104003906	0.0:1596.28820801	0.00449877	0.0298333	0.000400271
-45.9838256835938	-46.1063232422:-45.861328125	-24.8381032835521	-24.9629681018:-24.7132384653	20160113120000	20160113000000:20160114000000	798.144104003906	0.0:1596.28820801	0.00398144	0.00842097	0.000397808
-45.9838256835938	-46.1063232422:-45.861328125	-24.588373647101	-24.7132384653:-24.4635088289	20160113120000	20160113000000:20160114000000	798.144104003906	0.0:1596.28820801	0.00297223	-0.000358335	0.000395933
-45.9838256835938	-46.1063232422:-45.861328125	-24.3386440106499	-24.4635088289:-24.2137791924	20160113120000	20160113000000:20160114000000	798.144104003906	0.0:1596.28820801	-0.0401001	-0.0471802	0.000393732
-45.7388305664062	-45.861328125:-45.6163330078	-25.5872921929054	-25.7121570111:-25.4624273747	20160113120000	20160113000000:20160114000000	798.144104003906	0.0:1596.28820801	0.00604926	-0.000567536	0.000398399
-45.7388305664062	-45.861328125:-45.6163330078	-25.3375625564543	-25.4624273747:-25.2126977382	20160113120000	20160113000000:20160114000000	798.144104003906	0.0:1596.28820801	0.0174154	0.0112793	0.000397989
-45.7388305664062	-45.861328125:-45.6163330078	-24.588373647101	-24.7132384653:-24.4635088289	20160104120000	20160104000000:20160105000000	798.144104003906	0.0:1596.28820801	0.00568305	-0.094281	0.000400288
-45.7388305664062	-45.861328125:-45.6163330078	-24.3386440106499	-24.4635088289:-24.2137791924	20160104120000	20160104000000:20160105000000	798.144104003906	0.0:1596.28820801	0.0298258	-0.277466	0.000411247
-45.4938354492188	-45.6163330078:-45.3713378906	-25.5872921929054	-25.7121570111:-25.4624273747	20160104120000	20160104000000:20160105000000	798.144104003906	0.0:1596.28820801	-0.0150652	-0.225963	0.000414065
-45.4938354492188	-45.6163330078:-45.3713378906	-25.3375625564543	-25.4624273747:-25.2126977382	20160104120000	20160104000000:20160105000000	798.144104003906	0.0:1596.28820801	-0.0219616	0.267586	0.000414731
-45.4938354492188	-45.6163330078:-45.3713378906	-25.0878329200032	-25.2126977382:-24.9629681018	20160104120000	20160104000000:20160105000000	798.144104003906	0.0:1596.28820801	-0.0438802	0.0419854	0.000416325
-45.4938354492188	-45.6163330078:-45.3713378906	-24.8381032835521	-24.9629681018:-24.7132384653	20160104120000	20160104000000:20160105000000	798.144104003906	0.0:1596.28820801	0.0347595	0.0385335	0.000396237
-45.4938354492188	-45.6163330078:-45.3713378906	-24.588373647101	-24.7132384653:-24.4635088289	20160104120000	20160104000000:20160105000000	798.144104003906	0.0:1596.28820801	-0.0437927	0.0496521	0.000406295
-45.4938354492188	-45.6163330078:-45.3713378906	-20.8424291003346	-20.9672939186:-20.7175642821	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	0.00137329	0.0365295	0.000393139
-45.2488403320312	-45.3713378906:-45.1263427734	-25.5872921929054	-25.7121570111:-25.4624273747	20160104120000	20160104000000:20160105000000	798.144104003906	0.0:1596.28820801	0.0426549	-0.0492249	0.000424306
-45.2488403320312	-45.3713378906:-45.1263427734	-22.0910772825901	-22.2159421008:-21.9662124644	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	0.0129133	0.00797671	0.000395343
-45.2488403320312	-45.3713378906:-45.1263427734	-21.841347646139	-21.9662124644:-21.7164828279	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	0.0138701	0.0225844	0.000395714
-45.2488403320312	-45.3713378906:-45.1263427734	-21.5916180096879	-21.7164828279:-21.4667531915	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	0.0186502	0.0324442	0.000394496
-45.2488403320312	-45.3713378906:-45.1263427734	-21.3418883732368	-21.4667531915:-21.217023555	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	0.00710449	0.0124878	0.000394323
-45.2488403320312	-45.3713378906:-45.1263427734	-21.0921587367857	-21.217023555:-20.9672939186	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	0.00115967	0.00726318	0.000393555
-45.0038452148438	-45.1263427734:-44.8813476562	-23.3397254648455	-23.4645902831:-23.2148606466	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	0.0155204	-0.0160784	0.000390899
-45.0038452148438	-45.1263427734:-44.8813476562	-23.0899958283945	-23.2148606466:-22.9651310102	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	0.00646369	0.00721288	0.000396429
-45.0038452148438	-45.1263427734:-44.8813476562	-22.8402661919434	-22.9651310102:-22.7154013737	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	0.0145334	0.0482315	0.000397155
-45.0038452148438	-45.1263427734:-44.8813476562	-22.5905365554923	-22.7154013737:-22.4656717373	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	0.0158393	0.0118742	0.000396273
-45.0038452148438	-45.1263427734:-44.8813476562	-22.3408069190412	-22.4656717373:-22.2159421008	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	0.0146606	0.0152337	0.00039668
-45.0038452148438	-45.1263427734:-44.8813476562	-22.0910772825901	-22.2159421008:-21.9662124644	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	0.0201948	0.0320294	0.000395401
-44.7588500976562	-44.8813476562:-44.6363525391	-24.3386440106499	-24.4635088289:-24.2137791924	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	-0.00887045	0.181564	0.00039696
-44.7588500976562	-44.8813476562:-44.6363525391	-24.0889143741988	-24.2137791924:-23.964049556	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	-0.0108162	-0.00225877	0.000396602
-44.7588500976562	-44.8813476562:-44.6363525391	-23.8391847377477	-23.964049556:-23.7143199195	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	-0.00446608	0.024701	0.000396875
-44.7588500976562	-44.8813476562:-44.6363525391	-23.5894551012966	-23.7143199195:-23.4645902831	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	-0.00274851	0.0269075	0.00039701
-44.7588500976562	-44.8813476562:-44.6363525391	-23.3397254648455	-23.4645902831:-23.2148606466	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	0.00901853	0.0204928	0.000394463
-44.7588500976562	-44.8813476562:-44.6363525391	-23.0899958283945	-23.2148606466:-22.9651310102	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	0.0135122	0.00827261	0.000392173
